header,description,platforms
AcUninstallConfirmation,"This event is generated when a Falcon sensor is uninstalled from a host. Important: The Falcon sensor stores events locally in a cache, which enables you to maintain data integrity even if connection to the cloud is interrupted. The cache holds a maximum of 20,000 events and sends them after a host re-establishes a connection with the cloud. However, if you reboot, the cache is lost. This means that if you uninstall a sensor off network and reboot, the cache storing those events is lost, including any AcUninstallConfirmation events.","Windows, Linux, macOS"
AcUnloadConfirmation,The cloud will respond with this event as acknowledgement that a sensor was uninstalled.,"Windows, Linux, macOS"
AdditionalHostInfo,Serves as an addition to kernel-driven HostInfo event. Provides host-specific machine information from user mode. ObjectGuid is optional because a given host may not be joined to a domain. Platforms: macOS,Windows
ADExplorerFileWritten,,Windows
AgentConnect,This event is generated when the sensor successfully connects to the cloud. Platforms: Windows Legacy,"Windows, Linux, Falcon Container, iOS, Kubernetes, macOS, Android"
AgenticSessionEnd,,Windows
AgenticSessionStart,,Windows
AgenticSubagentStart,,Windows
AgenticToolRequest,,Windows
AgenticUserPromptSubmit,,Windows
AgentOnline,"This event is generated when any of these occur: 1. A host is turned on or rebooted 2. A new sensor is installed on a host 3. An existing sensor is updated This event can help to determine when a host was last rebooted. However, it's not intended for gathering report data, such as uptime of long-running servers or counting all active hosts. For reports, use Falcon Investigate's Sensor Report. Platforms: iOS This event is generated when any of these occur: 1. A host is turned on or rebooted 2. A new sensor is installed on a host 3. An existing sensor is updated 4. The managed configuration changes This event can help to determine when a host was last rebooted. However, it's not intended for gathering report data, such as uptime of long-running servers or counting all active hosts. Platforms: Windows Legacy, Vmcluster","Windows, Linux, Falcon Container, macOS, ChromeOS, Android, Kubernetes"
AiAgentClassifyChildTelemetry,,"Windows, macOS"
AiAgentClassifyRootTelemetry,,"Windows, macOS"
AksAgentPool,Snapshot of an Azure AKS Agent Pool.,Public Cloud
AksCluster,Snapshot of an Azure AKS cluster.,Public Cloud
AksVMSS,Snapshot of an Azure Virtual Machine Scale Sets.,Public Cloud
AllocVmEtw,A windows-only internal event that represents kernel initiated memory allocation. Captured using the ETW consumer.,Windows
AmcacheEntry,Metadata related to PE execution and program installation on Windows 7 and Server 2008 R2 and above.,Forensics
AmsBytePatternScanResult,,Windows
AmsBytePatternScanTelemetry,,Windows
AmsiRegistrationStatus,Event to record status in AMSI module.,Windows
AndroidEnterpriseInfo,This event contains metadata related to the state of the device as reported by the Android Management API (AMAPI).,Android
AndroidInitServiceAdded,An event that indicates that a new init (boot) service has been added to the system configuration. This might indicate the OS Integrity has been tampered with which might mean the device has been rooted.,Android
AndroidInitServiceRemoved,An event that indicates that an init (boot) service has been removed from the system configuration. This might indicate the OS Integrity has been tampered with which might mean the device has been rooted.,Android
AndroidIntentSentIPC,This event is sent when an Android Intent is fired from the container,Android
AndroidManifestFragmentData,An event that's sent by the sensor along with AndroidManifestXmlUploaded that contains a logical portion of AndroidManifest encoded as JSON after a process is installed or after it is opened.,Android
AndroidManifestXmlUploaded,An event that indicates the LFO upload of the AndroidManifest of an android application package was successful and maps the package name to the upload ID.,Android
AndroidModuleStateUpdate,Status information of modules for the Android sensor. AndroidModuleId lists available modules.,Android
APKMetadata,"Sent from mobile sensor in PlayStore mode when a new APK file is present on the device, as a result of an installation or an update",Android
AppleScriptFileWritten,,"macOS, Linux, Windows"
AppProtocolDetected,,macOS
AppSideLoaded,An event that contains the package name and installer info of the app that has been installed outside of the Google PlayStore.,Android
AppUninstalled,An event that contains information about an app that has been uninstalled from the device.,Android
ArcFileWritten,Emitted when a process is done writing a ARC file.,"Linux, Windows, macOS"
ArchiveFileContent,,"macOS, Windows"
ArchiveInfo,Archive file information.,Forensics
ArchiveMemberInfo,Archive member file information.,Forensics
ArjFileWritten,Emitted when a process is done writing a ARJ file.,"Windows, macOS, Linux"
AsepFileChangeDetectInfo,Rollup indicating an ASEP file has been created or modified and there was a template detection on the contents.,macOS
AsepFileChangeScanInfo,Rollup indicating an ASEP file has been created or modified but there was no template detection on the contents.,macOS
AsepKeyUpdate,Generated when an Auto Start Execution Point registry key is updated.,Windows
AsepValueUpdate,This event is generated when a Microsoft Auto Start Execution Point registry key has been updated.,Windows
AsifFileWritten,,macOS
ASLRBypassAttempt,"Emitted when a process that applied ForceASLR to a module detects an invalid execution attempt. This should only happen during an exploit, when the initial ROP chain is designed to defeat ASLR. In the case of a typical ALSR bypass attempt (trying to utilize code in a rebased image as part of a ROP chain), TargetAddress and ExceptionAddress will likely be identical, as will ImageFileName and SourceFileName.",Windows
AspmCollectionStatusUpdate,,Linux
AssociateIndicator,"This event is generated when the sensor generates an indicator. An indicator is like a detection event (AssociateTreeIdWithRoot) except that it is not necessarily malicious, either because it is just an indicator (e.g. when a process opens the Recycle Bin) or because CrowdStrike is not yet confident enough in the indicator to trigger it as a detection. Note that a detection, unlike an indicator, establishes a detection tree (AssociateTreeIdWithRoot) which causes the sensor to send additional information for that process tree for analysis/hunting purposes. An indicator is just a single event that has no other sensor impact.","Windows, Linux, Falcon Container, macOS"
AssociateTreeIdWithRoot,This event is generated when there is a detection in the sensor. This event has a data field called PatternId that contains a pattern ID. Pattern IDs correspond to a detection.,"Windows, Windows Legacy, macOS, Linux, Falcon Container"
AtJobInfo,Windows At jobs in use.,Forensics
AuditCveKmEtw,An event that indicates that a driver or the kernel reported a known CVE (Common Vulnerabilities and Exposures id). Captured using the ETW consumer.,Windows
AuditCveUmEtw,An event that indicates that an application reported a known CVE (Common Vulnerabilities and Exposures id). Captured using the ETW consumer.,Windows
AutoRunProcessInfo,Describes a process that is automatically executed.,Forensics
AwsEc2Image,"This event provides key metadata regarding images (AMIs, AKIs, and ARIs) available in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeImages API on your behalf. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.","Windows, Public Cloud"
AwsEc2Instance,This event provides key metadata regarding EC2 instances in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeInstances API on your behalf. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2NetworkAcl,Platforms: Public Cloud,Windows
AwsEc2NetworkAclEntry,Information from AWS API call DescribeNetworkAcls.,"Windows, Public Cloud"
AwsEc2NetworkInterface,"This event provides key metadata regarding network interfaces in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeNetworkInterfaces API on your behalf. Network interfaces can either be in detached or attached state. When attached, they have an associated EC2 instance ID which can be used to correlate between the two events. Note that multiple network interface objects can also be associated to a single EC2 instance. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.","Windows, Public Cloud"
AwsEc2NetworkInterfacePrivateIP,This event provides key metadata regarding private IP addresses in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeNetworkInterfaces API on your behalf. Multiple private IPs can be assigned to a single network interface. The AwsNetworkInterfaceId field can be used to correlate these private IPs to the associated AwsEc2NetworkInterface event. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2SecurityGroup,This event provides key metadata regarding security groups in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeSecurityGroups API on your behalf. Security groups control the level of network based access to resources within a VPC and can typically associated to network interfaces and their attached EC2 instances. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2SecurityGroupRule,This event provides key metadata regarding security groups in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeSecurityGroups API on your behalf. Each event represents a specific rule/ACL defined within a security group and are associated based on the AwsGroupId field. Rules represent the actual logic or ACL applied to the group. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2Subnet,This event provides key metadata regarding subnets configured in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeSubnets API on your behalf. Subnets represent a level of network segmentation and are created within a VPC to control and manage routing configurations. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2Volume,This event provides key metadata regarding EBS volumes configured in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeVolumes API on your behalf. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2Vpc,This event provides key metadata regarding virtual private clouds (VPCs) configured in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeVpcs API on your behalf. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsIamAccountAlias,Information from AWS API call ListAccountAliases.,"Windows, Public Cloud"
AzureApplicationFirewallRule,An event that contains firewall rules for https traffic or Azure SQL traffic.,Public Cloud
AzureDisk,An event that contains a list of Azure disks and their attributes.,Public Cloud
AzureFirewall,An event that contains information about Azure cloud-based network security service.,Public Cloud
AzureFirewallRuleCollection,"An event that contains Azure firewall rule collections for application, NAT (network address translation) and network firewall rules.",Public Cloud
AzureIpConfiguration,An event that contains a list of Azure IP configurations and attributes of the Azure IP configurations.,Public Cloud
AzureNatFirewallRule,An event that contains Azure firewall rules for LAN.,Public Cloud
AzureNetworkFirewallRule,An event that contains Azure network filtering rules.,Public Cloud
AzureNetworkInterface,An event that contains a list of Azure network interfaces and the Azure network interface attributes.,Public Cloud
AzureNetworkSecurityGroup,An event that contains information about an Azure Network Security Group.,Public Cloud
AzureNetworkSecurityGroupRule,An event that contains Azure security rules in the specified network security group.,Public Cloud
AzurePrivateEndpoint,An event that connects Azure Network interface to other services with private links.,Public Cloud
AzurePublicIpAddress,An event that contains Azure public IP addresses.,Public Cloud
AzureResourceGroup,An event that contains a list of Azure Resource Groups.,Public Cloud
AzureSubnet,An event that contains Azure sub-networks in the virtual network.,Public Cloud
AzureSubscription,An event that contains a list of Azure subscriptions.,Public Cloud
AzureVirtualMachine,An event that contains a list of Azure virtual machines and the Azure virtual machine attributes.,Public Cloud
AzureVirtualMachineState,An event that contains the machine state for any Azure virtual machine.,Public Cloud
AzureVirtualNetwork,An event that contains a list of the Azure virtual networks and the Azure virtual network attributes.,Public Cloud
AzureVirtualNetworkPeering,An event that contains a list of the Azure virtual networks and the Azure virtual network attributes.,Public Cloud
BamRegAppRunTime,Recent program execution timeline from Background Activity Moderator (BAM) system service registry. BAM key is written on system shutdown.,Forensics
Base64PeFileWritten,,Windows
BcmFileWritten,,Windows
BehaviorWhitelisted,Indicates that a behavior has been whitelisted.,"Linux, macOS, Windows"
BillingInfo,Sensor sends this event to inform the cloud about the sensor billing type. Platforms: macOS,"Linux, Falcon Container, Windows"
BITSJobCreated,The event is generated when a Background Intelligent Transfer Service (BITS) download is created and a new file is dropped on the system.,Windows
BITSJobFileInfo,Background Intelligent Transfer Service (BITS) job file information.,Forensics
BITSJobInfo,Background Intelligent Transfer Service (BITS) job information.,Forensics
BITSJobMetadata,"Background Intelligent Transfer Service (BITS) job metadata: times, proxy.",Forensics
BlakHoleFileWritten,,Windows
BlfFileWritten,Emitted when a process is done writing an BLF file.,"Windows, macOS, Linux"
BlockThreadFailed,A block thread request failed.,Windows
BMLFeatureData,,"Linux, Falcon Container, Windows, macOS"
BmpFileWritten,Emitted when a process is done writing a BMP image file.,"macOS, Linux, Windows"
BootLoaderStatus,An event that contains info about the device's bootloader.,Android
BootLoopProtectionTelemetry,,Windows
BPFCommandIssued,Emitted when a process executes bpf syscall.,"Linux, Falcon Container"
BrotliFileWritten,,Windows
BrowserAccountInfo,Browser user account information.,Forensics
BrowserCookieInfo,Browser tracking cookie information.,Forensics
BrowserDownloadEnded,Browser downloaded file information signifying download end time.,Forensics
BrowserDownloadStarted,Browser downloaded file information signifying download start time.,Forensics
BrowserExtensionInfo,Browser extension/addon information.,Forensics
BrowserExtensionStatus,,macOS
BrowserHistoryClearInfo,Browser history clearing event information.,Forensics
BrowserHistoryVisit,Browser history hit information.,Forensics
BrowserInjectedThread,Indicates a browser process injected a thread into some other process.,Windows
BrowserProxyInfo,Browser proxy information.,Forensics
BZip2FileWritten,Emitted when a process is done writing a BZip2 file.,"macOS, Windows, Linux"
CabFileWritten,Emitted when a process is done writing a Microsoft Cabinet (CAB) file.,"Windows, Linux, macOS"
CertificatePinningCompromised,"An event that indicates that the certificate pinning methods/functions on the device have been tampered with and cannot be trusted. For further details, see the following associated events: ObjCRuntimeAltered or TrampolineDetected.",iOS
ChannelActive,,Windows
ChannelDataDownloadComplete,"Sent by LFODownloadActor when a new channel data file has been downloaded. Platforms: iOS, Kubernetes Platforms: Vmcluster","Windows, Linux, Falcon Container, Android, macOS"
ChannelVersionRequired,"This event informs the cloud information about the state of a channel on the sensor. The cloud will use this event to decide whether to send the sensor updated channel data. Platforms: Vmcluster, iOS Platforms: Kubernetes","Windows, macOS, Linux, Falcon Container, Android"
CidMigrationComplete,,"Windows, macOS, Linux"
CidMigrationConfirmation,,"Linux, Windows, macOS"
CidMigrationError,,"Linux, Windows, macOS"
CidMigrationManifestDownloadComplete,,"Linux, macOS, Windows"
ClassifiedModuleLoad,"The ClassifiedModuleLoad event provides information about a module which has been loaded into a process's memory space. It is only generated for 'classified' module loads, that is module loads that are interesting enough for us to cloud.",Windows
ClassifiedProcessStart,,Windows
ClassifiedSensitiveFileAccess,,Windows
ClipboardCopy,Sent when content is copied to the clipboard.,"Android, iOS"
ClipboardPaste,Sent when content is pasted from the clipboard.,Android
CloudAssociateTreeIdWithRoot,This event is generated when there is a detection in the CrowdStrike cloud. This event has a data field called PatternId which contains a pattern ID. Pattern IDs are associated with a detection.,"Windows, Linux, Falcon Container, macOS, ChromeOS"
CloudScanControl,A event to that notifies downstream services of completed tasks.,Public Cloud
CodeSigningAltered,An event that indicates the code signing flags of the current application have unexpected flags or are missing expected ones.,iOS
CommandHistory,This event includes the full command history associated with one of the consoles in a process that has recently terminated (identified by the TargetProcessId). Note that a given UPID may be associated with multiple consoles (identified by ApplicationName).,Windows
CommsLogReset,Sent by Communications indicating that the CommsLog was flushed due to invalid data,macOS
ConfigDownloadComplete,Sent by LFODownloadActor when a new binary configuration has been downloaded as part of a configuration update. Platforms: Vmcluster Platforms: Kubernetes,"Windows, Linux, Falcon Container, macOS"
ConfigStateUpdate,"Sent periodically and when dynamic config is updated. Analysts can find out which config was active using this event with ConfigStateHash. You may have to reason about what a particular hash really means for a particular event at a given point in time, particularly if the hash has recently changed. Platforms: Vmcluster, Windows Legacy Platforms: Android, Kubernetes, iOS","macOS, Linux, Falcon Container, Windows"
ConfigurationLoaded,Thrown when a new configuration has been successfully loaded but before any Event Sources are started.,"iOS, Android"
ConfigurationProfileModified,,macOS
ConfigurationProvisioningState,,Linux
ContainerizationUpdate,"Sent following an LFODownload of a new APK to be installed or updated in the container, containing response information for the operation.",Android
CrashNotification,The sensor sends this to the cloud when the Diagnostics Actor notices that the machine has booted with indication of previous session ending in a crash.,"Windows, macOS"
CreateProcessArgs,Full command line argument corresponding to a process creation.,macOS
CreateService,Generated when a Windows service is created.,Windows
CreateSocket,This event is created whenever a process creates a socket.,"Forensics, Linux, Falcon Container"
CreateThreadKernelNoStartImage,Emitted when a new system thread is created outside of a loaded driver.,Windows
CreateThreadNoStartImage,"This event is used to indicate the target start address of a CreateThread attempt is not within the limits of a loaded module. This could indicate the presence of shellcode, or other dynamically allocated code regions.",Windows
CreateThreadReflectiveDll,This event is used to indicate the presence of a reflectively loaded dll in the callstack for a CreateThread attempt.,Windows
CriticalEnvironmentVariableChanged,A process set a critical environment variable.,"Linux, Falcon Container"
CriticalFileAccessed,A critical file was accessed. Platforms: ChromeOS,"Linux, Falcon Container, macOS"
CriticalFileModified,A critical file was modified. Platforms: ChromeOS,"Linux, Falcon Container, macOS"
CrxFileWritten,,"macOS, Windows, Linux"
CSAResultsGenericDetectInfo,,Windows
CsKmCrashSummaryEvent,,Windows
CsUmProcessCrashAuxiliaryEvent,"An event that is emitted when a CrowdStrike process crashes which helps diagnose issues in the field, one per thread.",Windows
CsUmProcessCrashSummaryEvent,A event that is emitted when a CrowdStrike process crashes which helps diagnose issues in the field.,Windows
CurrentSystemTags,"This event is sent from the sensor to inform the cloud about the system tag state. Platforms: Vmcluster, Windows Legacy","macOS, Linux, Falcon Container, iOS, Android, Windows, Kubernetes"
CustomIOABasicProcessDetectionInfoEvent,An event triggered by a Process Creation custom IOA rule.,"Linux, Falcon Container, Windows, macOS"
CustomIOADomainNameDetectionInfoEvent,Platforms: Windows An event triggered by a Domain Name custom IOA rule.,"Linux, macOS"
CustomIOAFileWrittenDetectionInfoEvent,An event triggered by a File Creation custom IOA rule.,"Windows, macOS, Linux"
CustomIOANetworkConnectionDetectionInfoEvent,An event triggered by a Network Connection custom IOA rule. Platforms: Linux,"macOS, Windows"
DataEgress,Description of a data egress observed on the sensor.,"macOS, Windows"
DataProtectionArchiveAssessed,Describes an archive processed by Data Protection assessment. Top level event fields are properties of enclosing archive file (e.g. Size),"Windows, macOS"
DataProtectionBrowserConnect,,"Windows, macOS"
DataProtectionDataEncryption,,Windows
DataProtectionPACDiagnostic,,Windows
DBusMessage,An event that generates telemetry that provides visibility into D-Bus messages flowing over local Unix sockets between processes. The sensor will produce events for each message and apply any relevant detections.,Linux
DcBluetoothAuthorizationStatus,,macOS
DcBluetoothDeviceBlocked,,macOS
DcBluetoothDeviceConnected,This event represents a connected Bluetooth device. Platforms: macOS,Windows
DcBluetoothDeviceConnectedDetails,,"macOS, Windows"
DcBluetoothDeviceDisconnected,Platforms: Windows This event represents a disconnected Bluetooth device.,macOS
DcBluetoothDevicePolicyViolation,,macOS
DcBluetoothDeviceProperties,This event contains properties for a connected Bluetooth device. Platforms: macOS,Windows
DcIdentification,This event enables monitoring of domain controllers (DCs) and the passing of identifying information to the CrowdStrike Cloud.,Windows
DcOffline,An event that indicates the Device Control plug-and-play driver interface has gone offline. It is sent each time the sensor disconnects from the Device Control interface.,"Windows, macOS, Linux"
DcOnline,An event that indicates the Device Control plug-and-play driver interface has come online. It is sent each time the sensor connects to the Device Control interface.,"macOS, Linux, Windows"
DcRemovableStorageDeviceBlocked,,"Windows, macOS"
DcRemovableStorageDeviceConnected,,"Windows, macOS"
DcRemovableStorageDeviceDisconnected,,"macOS, Windows"
DcRemovableStorageDevicePolicyViolation,,"Windows, macOS"
DcStatus,An event that contains the status information for the Device Control plug-and-play driver. It is sent once per day after it has successfully connected to the Device Control interface.,"Windows, macOS, Linux"
DCSyncAttempted,"Directory Services changes were replicated. If the source host is not a Domain Controller, this could represent malicious activity.",Windows
DcUsbConfigurationDescriptor,An event that describes a configuration descriptor extracted from the firmware of a USB device. This event is sent one time when the first device containing this descriptor is seen and every seven days.,"macOS, Linux, Windows"
DcUsbDeviceBlocked,An event that indicates a USB device that was blocked by a policy.,"Linux, macOS, Windows"
DcUsbDeviceConnected,"An event that describes a connected USB device to which Device Control is attached. It is sent each time the system powers on, the associated hub/port is power cycled, or the device is physically inserted into the system.","Linux, macOS, Windows"
DcUsbDeviceDisconnected,"An event that describes a disconnected USB device to which Device Control has previously attached. It is sent each time the system powers off, the associated hub/port is power cycled, or the device is physically removed from the system.","Linux, macOS, Windows"
DcUsbDevicePolicyViolation,An event that indicates a USB device that matched a rule in a policy but was not blocked due to the rule being set to reporting mode only.,"macOS, Linux, Windows"
DcUsbDeviceWhitelisted,An event that indicates a USB device was added to an allowlist by a Device Control policy. The Device Control plug-and-play driver did not attach to the device as a result of an allowlist policy rule.,"Windows, macOS, Linux"
DcUsbEndpointDescriptor,An event that describes an endpoint descriptor extracted from the firmware of a USB device. An interface descriptor typically defines 2 or more endpoints that are used for data transfer. This event is sent one time when the first device containing this descriptor is seen and every seven days.,"macOS, Linux, Windows"
DcUsbHIDDescriptor,This event describes a HID (Human Interface Device) descriptor extracted from the firmware of a USB device. A HID descriptor is a container for a complex set of sub-descriptors that identify the capabilities of a HID device. This event is sent one time when the first device containing this descriptor is seen and every seven days.,"macOS, Linux, Windows"
DcUsbInterfaceDescriptor,"An event that describes an interface descriptor extracted from the firmware of a USB device. There are typically multiple interface descriptors for a given configuration descriptor, with each interface exposing a device capability. This event is sent one time when the first device containing this descriptor is seen and every seven days.","macOS, Linux, Windows"
DeactivateMobileSensorResponse,"Sent as confirmation by a Falcon Mobile sensor that it was reset and inactive. Platforms: Android Sent as confirmation by a Falcon Mobile sensor that it was reset and inactive. On Android, container apps and data have been wiped from the device. Complete deactivation of the sensor, including all current and future cloud connections, will follow shortly after.",iOS
DebFileWritten,,"Linux, macOS, Windows"
DebuggableFlagTurnedOn,An event that indicates a debuggable flag has been turned on for a non-dev build of an app.,Android
DebuggedState,"An event that indicates a process is in the state of being debugged (i.e., has a debugger attached to it.)",iOS
DeliverLocalFXToCloud,DeliverLocalFXToCloud conveys feature extraction (FX) data to the cloud from the sensor. Platforms: Linux `DeliverLocalFXToCloud` conveys feature extraction (FX) data to the cloud from the sensor.,"macOS, Windows"
DeliverRulesEngineResultsToCloud,,"macOS, Linux, Windows"
DetectionExcluded,"This event indicates that a detection has been excluded, either by customer exclusions or by CrowdStrike.","macOS, Linux, Falcon Container, Windows, iOS, Android"
DeveloperOptionsStatus,An event that contains info about developer-related settings on the device. Platforms: iOS,Android
DexFileWritten,Emitted when a file has been written that contains a real Dex image header.,Android
DirectoryCreate,This event is generated when a process creates a new folder. Platforms: Linux,"Windows, macOS"
DirectoryTraversalOverSMB,This event indicates Directory traversal over an SMB session detected.,Windows
DiskCapacity,"An event that contains information about disks, the quantity of disks, and the storage capability of disks that are locally attached to a system. The event is sent when the sensor connects, every 24 hours thereafter, and in case any change in disk parameters is detected. Platforms: Windows An event that contains information about disks, the quantity of disks, and the storage capability of disks. The event is sent when the sensor connects, every 24 hours thereafter, and in case any change in disk parameters is detected.",Linux
DiskUtilization,An event that contains the used and available storage space for each mounted logical drive or volume that has an underlying physical disk locally attached to the system. The event is sent when the sensor connects and every 12 hours thereafter. Platforms: Forensics,Linux
DllInjection,This event indicates that DLL injection occurred in the target process.,Windows
DmgFileWritten,,"Linux, Windows, macOS"
DmpFileWritten,Emitted when a process is done writing a dump file. PidFromCommandLine will be enhanced in some cases to extract out the pid from the commandline of the writing process if possible.,"Windows, Linux, macOS"
DnsCache,An entry observed within the system's DNS Cache.,Forensics
DnsRequest,"When a process on a host generates a DNS query, the sensor waits for the response, to generate a DnsRequest that contains the queried domain and information returned in the response such as IP-addresses. Platforms: iOS When a process on a host generates a DNS query, the sensor waits for the response, to generate a DnsRequest that contains the queried domain and information returned in the response such as IP-addresses. Platforms: macOS When a process on a host generates a DNS query, the sensor waits for the response, to generate a DnsRequest that contains the queried domain and information returned in the response such as IP-addresses. On Mac the data is deduplicated just on DomainName. The sensor clears deduplication entries every 24 hrs after the first DnsRequest for the specific process is received. Platforms: Linux, Windows When a process on a host generates a DNS query, the sensor waits for the response, to generate a DnsRequest that contains the queried domain and information returned in the response such as IP-addresses. On Win/Lin sensor the data is deduplicated based on DomainName, IP4, IP6 and CNAME. Meaning if multiple requests are made that have responses containing different IP addresses for a single domain, they will all be visible. The sensor clears deduplication entries every 24 hrs after the first DnsRequest for the specific process is received.",Android
DnsRequestBlocked,This event is sent whenever a DnsRequest is blocked. Connection to either the IP or the domain in this request has been blocked.,"Android, iOS"
DNSRequestDetectInfo,This event is sent whenever a malicious DnsRequest is detected. Platforms: Linux,"iOS, Android"
DnsRequestResult,An event that contains DNS request results after a DNS request.,"Android, iOS"
DnsServer,DNS server IP addresses.,Forensics
DnsServerSigRedExploitAttemptEtw,,Windows
DocumentProgramInjectedThread,Indicates a document program process injected a thread into some other process.,Windows
DotnetModuleLoadDetectInfo,,Windows
DriverLoad,An event to notify of a driver load that will be used for detection.,"Forensics, Windows"
DriverLoadBlocked,Event which indicates we successfully blocked a driver from loading.,Windows
DriverLoadedV2DetectInfo,,Windows
DriverPreventFailed,Event which indicates we failed (or timed out) attempting to block a driver load.,Windows
DriverPreventionStatus,,Windows
DuplicateInstallFromPlayStore,An event that indicates a containerized app is also installed outside the container.,Android
DwgFileWritten,An event that is emitted when a process is done writing to a DWG file.,Windows
DwmCompositionResourceExploitAttempt,,Windows
DxfFileWritten,,Windows
EarlyExploitPivotDetect,Telemetry event indicating execution pivoting in an unusual way. Could be indicative of malicious code.,Windows
ECBDownloadComplete,Sent by LFODownloadActor when a new ECB module has been downloaded as part of a configuration update.,"Windows, Linux, macOS"
